Designator,Mid X,Mid Y,Rotation,Layer
C10,107.8,-105.2,0.0,top
C11,118.0,-102.0,0.0,top
C12,122.75,-106.0,90.0,top
C13,132.1,-102.0,0.0,top
C14,122.75,-112.0,270.0,top
C15,164.75,-106.0,90.0,top
C16,174.1,-102.0,0.0,top
C17,164.75,-112.0,270.0,top
C18,178.75,-106.0,90.0,top
C19,188.0,-102.0,0.0,top
C20,178.75,-112.0,270.0,top
C21,126.0125,-78.17,180.0,top
C22,151.35,-88.2,90.0,top
C23,117.5,-69.25,0.0,top
C24,153.55,-87.6,270.0,top
C25,124.5,-69.25,180.0,top
C3,133.0,-128.6,270.0,top
C4,119.0,-136.6,90.0,top
C5,151.6,-116.4,180.0,top
C6,145.6,-129.6,0.0,top
C7,181.28,-128.4,270.0,top
C8,167.28,-136.4,90.0,top
C9,107.85,-112.8,0.0,top
J11,114.25,-55.05,180.0,top
J12,134.25,-55.05,180.0,top
R1,119.0,-132.6,90.0,top
R12,167.28,-132.4,90.0,top
R13,181.28,-136.4,90.0,top
R14,167.28,-128.4,90.0,top
R15,167.28,-124.4,90.0,top
R2,133.0,-136.6,90.0,top
R23,161.5,-68.25,90.0,top
R24,159.5,-68.25,90.0,top
R25,142.0,-141.5,90.0,top
R26,158.0,-141.5,90.0,top
R3,119.0,-128.6,90.0,top
R39,169.225,-68.275,90.0,top
R4,119.0,-124.6,90.0,top
R40,175.825,-68.275,270.0,top
R41,173.625,-68.275,270.0,top
R42,171.425,-68.275,270.0,top
R43,122.4625,-78.17,0.0,top
R44,175.0,-116.0,0.0,top
R45,120.0,-116.0,180.0,top
R49,145.35,-88.1725,90.0,top
U10,148.4,-89.6,180.0,top
U8,167.73,-76.725,0.0,top
U9,124.54,-81.0,270.0,top
